iter	RMSE
0	4270.423904
1	4030.524714
2	3816.14558
3	3673.609243
4	3553.653957
5	3456.022714
6	3382.954488
7	3312.503514
8	3258.534218
9	3218.333922
10	3176.570554
11	3142.5214
12	3047.25728
13	3021.938663
14	2994.502932
15	2966.879617
16	2900.887264
17	2878.898456
18	2863.557854
19	2816.641359
20	2800.280775
21	2784.689439
22	2770.218755
23	2760.649354
24	2724.740371
25	2716.248624
26	2703.180732
27	2694.86606
28	2686.967537
29	2681.164606
30	2672.015349
31	2666.919607
32	2662.922907
33	2643.382875
34	2635.843853
35	2628.082133
36	2590.119784
37	2585.423493
38	2579.188226
39	2574.973729
40	2570.613016
41	2567.047317
42	2563.787124
43	2537.74285
44	2535.565729
45	2532.853703
46	2517.291679
47	2511.439059
48	2507.663546
49	2503.814062
50	2502.053815
51	2498.975302
52	2497.397002
53	2493.739571
54	2491.494317
55	2490.208045
56	2487.811346
57	2483.674705
58	2482.552124
59	2478.950738
60	2476.6507
61	2472.801873
62	2470.795779
63	2463.294232
64	2460.485143
65	2459.537772
66	2457.837377
67	2457.014463
68	2455.061812
69	2439.37834
70	2436.925711
71	2434.13562
72	2431.233828
73	2428.403346
74	2426.804341
75	2424.232655
76	2419.339282
77	2415.975076
78	2415.330123
79	2410.389356
80	2408.787444
81	2407.201039
82	2405.775134
83	2404.144322
84	2402.25086
85	2400.351585
86	2389.803829
87	2388.305249
88	2384.745357
89	2383.142697
90	2381.663977
91	2380.059596
92	2379.305172
93	2378.789761
94	2377.507536
95	2377.061545
96	2369.668944
97	2367.701583
98	2365.768973
99	2364.470459
100	2361.743787
101	2360.686719
102	2359.110314
103	2358.021352
104	2355.926433
105	2355.289656
106	2354.272378
107	2353.391481
108	2350.425349
109	2347.683303
110	2346.511098
111	2344.540284
112	2343.343603
113	2342.079639
114	2341.279671
115	2339.943807
116	2338.893261
117	2337.195756
118	2335.961697
119	2335.454356
120	2335.278769
121	2334.964596
122	2330.108617
123	2328.599866
124	2328.01437
125	2326.613227
126	2325.132642
127	2323.404952
128	2322.094253
129	2320.753754
130	2319.694309
131	2318.53047
132	2316.365808
133	2316.206401
134	2315.029979
135	2314.227406
136	2313.859448
137	2313.715628
138	2311.283668
139	2310.576915
140	2309.541744
141	2309.25292
142	2309.127585
143	2308.278364
144	2306.817501
145	2303.955609
146	2302.569707
147	2301.172885
148	2301.056909
149	2298.355416
150	2297.127688
151	2295.976389
152	2294.741957
153	2293.879233
154	2292.74424
155	2291.824503
156	2290.701194
157	2289.283965
158	2288.159925
159	2288.057947
160	2285.984995
161	2284.859734
162	2283.64888
163	2282.701248
164	2281.652355
165	2281.390254
166	2280.67397
167	2280.599065
168	2280.509112
169	2279.200238
170	2278.325491
171	2277.91537
172	2277.09201
173	2275.83786
174	2274.628494
175	2273.686661
176	2271.76731
177	2271.697654
178	2271.460404
179	2270.808206
180	2270.077685
181	2269.559433
182	2268.637641
183	2267.495595
184	2266.963124
185	2265.91525
186	2265.038094
187	2264.213603
188	2263.369452
189	2262.53226
190	2261.692438
191	2261.62964
192	2261.441567
193	2260.688453
194	2259.771908
195	2259.382961
196	2257.506002
197	2256.675086
198	2255.807482
199	2255.612705
200	2254.863658
201	2254.543925
202	2253.860853
203	2252.527495
204	2252.138492
205	2252.081261
206	2251.364926
207	2248.868276
208	2248.499443
209	2247.918835
210	2247.255029
211	2246.528402
212	2246.476119
213	2245.739451
214	2244.792053
215	2244.180124
216	2243.842103
217	2243.794009
218	2242.940271
219	2242.799516
220	2242.179856
221	2241.429698
222	2240.796979
223	2240.039194
224	2239.225299
225	2238.913831
226	2238.791553
227	2238.141914
228	2237.566771
229	2237.203846
230	2236.565363
231	2235.801844
232	2234.584813
233	2234.041676
234	2233.513788
235	2232.563277
236	2231.944543
237	2228.76031
238	2228.644344
239	2228.598469
240	2228.454669
241	2227.869288
242	2227.334543
243	2226.70318
244	2224.432019
245	2223.792146
246	2222.101471
247	2221.638501
248	2221.594968
249	2221.003339
250	2220.891898
251	2220.183113
252	2220.144601
253	2219.536466
254	2219.090915
255	2218.419129
256	2217.714495
257	2217.101294
258	2216.370852
259	2215.160051
260	2215.004061
261	2214.503395
262	2214.390297
263	2213.788131
264	2213.339516
265	2212.532429
266	2211.93896
267	2210.608804
268	2210.324437
269	2209.639617
270	2209.092039
271	2209.010797
272	2208.972006
273	2208.936488
274	2208.525655
275	2206.857087
276	2206.156598
277	2205.59044
278	2204.566359
279	2204.039085
280	2203.907565
281	2203.230341
282	2202.435091
283	2201.980016
284	2201.218885
285	2200.578207
286	2199.511493
287	2199.403096
288	2198.981202
289	2197.545168
290	2197.018517
291	2196.807418
292	2196.772405
293	2196.740346
294	2196.317988
295	2195.917944
296	2194.695544
297	2194.147819
298	2193.901351
299	2193.282151
300	2192.906979
301	2192.831981
302	2192.254927
303	2192.172474
304	2191.234855
305	2190.669225
306	2190.08516
307	2189.750795
308	2189.054526
309	2188.568355
310	2187.905968
311	2186.246672
312	2185.85757
313	2185.311688
314	2184.244962
315	2183.695105
316	2183.167841
317	2182.656199
318	2182.32847
319	2182.298263
320	2181.992189
321	2181.888688
322	2181.098768
323	2180.756711
324	2179.664999
325	2179.010231
326	2178.095215
327	2177.432228
328	2176.371613
329	2176.278224
330	2176.049025
331	2175.472855
332	2175.135826
333	2174.492436
334	2174.122368
335	2174.081825
336	2174.008692
337	2173.550102
338	2173.515073
339	2172.901836
340	2172.665396
341	2172.214818
