iter	Passed	Remaining
0	164	163971
1	169	84783
2	174	58136
3	180	44924
4	186	37059
5	191	31675
6	198	28125
7	203	25238
8	210	23192
9	216	21473
10	222	19988
11	229	18906
12	234	17802
13	238	16788
14	244	16065
15	249	15343
16	256	14855
17	261	14272
18	267	13789
19	273	13388
20	277	12953
21	284	12644
22	289	12315
23	294	11973
24	301	11772
25	306	11472
26	311	11226
27	318	11039
28	322	10803
29	328	10634
30	334	10450
31	338	10249
32	345	10117
33	350	9952
34	354	9784
35	361	9683
36	366	9540
37	371	9402
38	377	9305
39	382	9175
40	388	9093
41	394	8996
42	398	8879
43	405	8820
44	410	8720
45	415	8622
46	422	8556
47	426	8458
48	432	8402
49	454	8640
50	460	8561
51	466	8508
52	471	8429
53	476	8347
54	483	8303
55	487	8225
56	493	8172
57	499	8117
58	504	8042
59	510	8002
60	516	7947
61	520	7880
62	527	7849
63	532	7792
64	537	7736
65	543	7695
66	548	7637
67	554	7603
68	560	7564
69	565	7515
70	572	7495
71	577	7443
72	582	7400
73	588	7370
74	593	7321
75	599	7292
76	605	7256
77	609	7209
78	616	7187
79	621	7146
80	625	7102
81	633	7089
82	637	7046
83	644	7026
84	650	7003
85	655	6963
86	661	6945
87	667	6916
88	671	6877
89	679	6868
90	684	6832
91	690	6811
92	695	6786
93	700	6749
94	706	6732
95	711	6703
96	716	6673
97	724	6663
98	728	6631
99	735	6618
100	740	6594
101	745	6564
102	752	6552
103	757	6525
104	761	6494
105	769	6486
106	773	6456
107	780	6443
108	785	6424
109	790	6396
110	798	6397
111	803	6370
112	809	6351
113	815	6335
114	820	6312
115	827	6308
116	833	6289
117	839	6275
118	845	6263
119	850	6240
120	857	6231
121	863	6212
122	869	6196
123	876	6193
124	881	6169
125	888	6161
126	893	6145
127	899	6131
128	906	6123
129	911	6100
130	918	6093
131	923	6075
132	929	6060
133	937	6057
134	942	6036
135	949	6031
136	954	6013
137	960	6000
138	966	5987
139	971	5967
140	978	5962
141	983	5944
142	988	5926
143	995	5915
144	999	5894
145	1006	5884
146	1012	5872
147	1016	5853
148	1023	5844
149	1029	5833
150	1037	5831
151	1046	5840
152	1055	5842
153	1061	5830
154	1069	5828
155	1074	5815
156	1081	5804
157	1087	5797
158	1093	5785
159	1102	5788
160	1108	5774
161	1116	5775
162	1122	5762
163	1129	5759
164	1136	5752
165	1144	5751
166	1151	5743
167	1157	5732
168	1164	5723
169	1168	5706
170	1176	5705
171	1181	5689
172	1189	5684
173	1196	5678
174	1203	5671
175	1209	5663
176	1215	5653
177	1223	5649
178	1229	5637
179	1237	5636
180	1242	5622
181	1249	5615
182	1254	5602
183	1260	5590
184	1268	5588
185	1274	5577
186	1282	5576
187	1289	5568
188	1299	5577
189	1306	5570
190	1315	5573
191	1326	5582
192	1334	5581
193	1344	5584
194	1350	5576
195	1361	5585
196	1372	5595
197	1379	5587
198	1389	5594
199	1401	5604
200	1407	5593
201	1418	5602
202	1427	5603
203	1434	5599
204	1442	5593
205	1449	5587
206	1456	5579
207	1463	5571
208	1469	5560
209	1476	5555
210	1482	5544
211	1493	5552
212	1500	5544
213	1507	5538
214	1514	5528
215	1522	5525
216	1527	5512
217	1535	5507
218	1541	5495
219	1548	5489
220	1554	5478
221	1559	5465
222	1568	5465
223	1573	5452
224	1583	5452
225	1588	5440
226	1595	5431
227	1600	5419
228	1606	5408
229	1613	5400
230	1619	5390
231	1626	5385
232	1632	5373
233	1639	5365
234	1645	5355
235	1650	5342
236	1657	5337
237	1664	5328
238	1671	5321
239	1677	5311
240	1683	5301
241	1689	5293
242	1694	5280
243	1702	5274
244	1707	5261
245	1714	5253
246	1720	5245
247	1726	5234
248	1733	5227
249	1738	5215
250	1745	5209
251	1751	5198
252	1757	5189
253	1764	5181
254	1769	5169
255	1776	5163
256	1781	5151
257	1788	5144
258	1795	5136
259	1800	5124
260	1807	5118
261	1814	5109
262	1822	5106
263	1828	5097
264	1836	5094
265	1846	5094
266	1853	5089
267	1859	5078
268	1868	5077
269	1874	5067
270	1882	5063
271	1888	5054
272	1896	5050
273	1903	5042
274	1910	5037
275	1917	5028
276	1924	5023
277	1931	5016
278	1938	5008
279	1945	5002
280	1951	4994
281	1959	4988
282	1964	4977
283	1972	4973
284	1978	4963
285	1986	4958
286	1992	4949
287	1998	4941
288	2004	4932
289	2010	4921
290	2017	4915
291	2022	4904
292	2031	4900
293	2037	4892
294	2045	4887
295	2052	4881
296	2059	4874
297	2066	4867
298	2072	4858
299	2079	4852
300	2085	4842
301	2093	4839
302	2099	4829
303	2107	4825
304	2113	4815
305	2121	4810
306	2127	4801
307	2133	4793
308	2140	4787
309	2147	4779
310	2154	4773
311	2161	4765
312	2169	4761
313	2175	4752
314	2184	4749
315	2191	4742
316	2198	4736
317	2204	4727
318	2212	4722
319	2217	4712
320	2225	4706
321	2231	4698
322	2238	4690
323	2244	4682
324	2249	4671
325	2256	4666
326	2262	4656
327	2268	4648
328	2304	4699
329	2310	4691
330	2320	4690
331	2329	4687
332	2336	4680
333	2341	4669
334	2348	4661
335	2353	4651
336	2359	4642
337	2366	4635
338	2371	4624
339	2378	4618
340	2384	4607
341	2390	4599
342	2397	4591
343	2402	4581
344	2409	4574
345	2414	4564
346	2421	4556
347	2428	4549
348	2433	4539
349	2441	4533
350	2446	4524
351	2455	4519
352	2461	4511
353	2468	4504
354	2474	4496
355	2481	4489
356	2488	4482
357	2494	4472
358	2501	4467
359	2506	4456
360	2514	4451
361	2520	4442
362	2528	4436
363	2534	4428
364	2541	4421
365	2548	4415
366	2554	4406
367	2562	4401
368	2568	4392
369	2577	4388
370	2582	4378
371	2589	4371
372	2595	4362
373	2601	4353
374	2607	4346
375	2614	4338
376	2621	4332
377	2626	4322
378	2633	4314
379	2639	4306
380	2644	4296
381	2652	4291
382	2658	4282
383	2665	4275
384	2671	4266
385	2677	4258
386	2683	4251
387	2689	4242
388	2696	4235
389	2701	4225
390	2708	4218
391	2714	4210
392	2719	4201
393	2727	4195
394	2732	4185
395	2739	4178
396	2745	4170
397	2750	4160
398	2757	4153
399	2762	4144
400	2769	4137
401	2775	4128
402	2780	4119
403	2788	4113
404	2793	4103
405	2800	4097
406	2806	4088
407	2812	4081
408	2818	4073
409	2823	4063
410	2831	4058
411	2836	4048
412	2843	4041
413	2849	4032
414	2854	4024
415	2862	4018
416	2867	4009
417	2874	4002
418	2881	3995
419	2888	3988
420	2896	3983
421	2904	3977
422	2910	3969
423	2917	3963
424	2924	3957
425	2932	3950
426	2940	3945
427	2948	3940
428	2954	3932
429	2961	3926
430	2970	3921
431	2977	3915
432	2984	3907
433	2993	3904
434	3000	3897
435	3010	3893
436	3015	3885
437	3023	3879
438	3029	3870
439	3034	3861
440	3041	3854
441	3046	3845
442	3053	3839
443	3058	3830
444	3065	3822
445	3071	3815
446	3076	3806
447	3083	3799
448	3088	3790
449	3093	3780
450	3100	3773
451	3104	3764
452	3110	3756
453	3116	3748
454	3121	3738
455	3128	3732
456	3134	3724
457	3140	3715
458	3145	3707
459	3150	3698
460	3157	3691
461	3162	3682
462	3167	3674
463	3174	3667
